record_type	relative_path	sha256	source_repo	source_repo_head	exists	usable_for_primary_analysis	task011a_qc_status	note
structure	results/open_structure_007/tier1_shallow/A89_2C_289_290_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	fa876ff64cf1bb526057f35cca4c78665cbf2d8ff56cf868dfda2bc023fee495	HRV-A89-2C-small-tag-and-insertion-site-prioritization	5a42628a927c6eebd3959b4115fd3f6f7915e3c6	True	yes	carried_forward	
structure	results/open_structure_007/tier1_shallow/A89_2C_290_291_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	12d010de29c2b2fa308d3b3e07756cd3700d4815b314e8e21da5bd68fe3d552c	HRV-A89-2C-small-tag-and-insertion-site-prioritization	5a42628a927c6eebd3959b4115fd3f6f7915e3c6	True	yes	carried_forward	
structure	results/9a5_context_011a_qc/reexported_1x9A5_endpoints/rep1_endpoint_last_frame_reexported.pdb	d0478a7a51689bb667669872868335018b6685e1e7218a351f1d7dc791f46d26	HRV-A89-2C-small-tag-and-insertion-site-prioritization	5a42628a927c6eebd3959b4115fd3f6f7915e3c6	True	yes	corrected_endpoint_primary_analysis	generated_by_scripts/9a5_context_qc_011a.py_from_existing_XTC
structure	results/9a5_context_011a_qc/reexported_1x9A5_endpoints/rep2_endpoint_last_frame_reexported.pdb	935684cc8c8088161467a728447c8fc821cd0c99d5175f2dc0ddfefc129df8c5	HRV-A89-2C-small-tag-and-insertion-site-prioritization	5a42628a927c6eebd3959b4115fd3f6f7915e3c6	True	yes	corrected_endpoint_primary_analysis	generated_by_scripts/9a5_context_qc_011a.py_from_existing_XTC
structure	results/9a5_context_011a_qc/reexported_1x9A5_endpoints/rep3_endpoint_last_frame_reexported.pdb	5188d4f8df2e77f3c6bfbf01fcf4135cfde42c1c4ea56ec642c16cb6cd2370c1	HRV-A89-2C-small-tag-and-insertion-site-prioritization	5a42628a927c6eebd3959b4115fd3f6f7915e3c6	True	yes	corrected_endpoint_primary_analysis	generated_by_scripts/9a5_context_qc_011a.py_from_existing_XTC
cluster_center_xtc	HRV_A89_2C_HEXAMER/12_9A5_loading/16_1x_9A5_weakposres_1ns_repeats/rep1/npt_1x_9A5_weakposres_1ns_rep1_pbc_cluster_center.xtc	2a8fbcd618b878abba676682f7308bca4647ad7dbddde6d668628c443864fe65	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	input_provenance	underlying_xtc_tpr_gro_log_sha256_unique	MDAnalysis Universe(topology, pbc_cluster_center.xtc); explicit u.trajectory[-1]; u.atoms.write(PDB)
raw_xtc	HRV_A89_2C_HEXAMER/12_9A5_loading/16_1x_9A5_weakposres_1ns_repeats/rep1/npt_1x_9A5_weakposres_1ns_rep1.xtc	e9488f663248b1b493df7a26d55a8f3d33e61c798073eb234e7df1f02ebfd5b6	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	input_provenance	underlying_xtc_tpr_gro_log_sha256_unique	MDAnalysis Universe(topology, pbc_cluster_center.xtc); explicit u.trajectory[-1]; u.atoms.write(PDB)
tpr	HRV_A89_2C_HEXAMER/12_9A5_loading/16_1x_9A5_weakposres_1ns_repeats/rep1/npt_1x_9A5_weakposres_1ns_rep1.tpr	07cea6f89ef488c2e926b6918e69261c409e48ef8921dc7ff90740f72c32152d	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	input_provenance	underlying_xtc_tpr_gro_log_sha256_unique	MDAnalysis Universe(topology, pbc_cluster_center.xtc); explicit u.trajectory[-1]; u.atoms.write(PDB)
gro	HRV_A89_2C_HEXAMER/12_9A5_loading/16_1x_9A5_weakposres_1ns_repeats/rep1/npt_1x_9A5_weakposres_1ns_rep1.gro	1a09ef649f993c886ba39d9bae522ffd3baa3f3e593b0710aedca1aae5df4c20	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	input_provenance	underlying_xtc_tpr_gro_log_sha256_unique	MDAnalysis Universe(topology, pbc_cluster_center.xtc); explicit u.trajectory[-1]; u.atoms.write(PDB)
log	HRV_A89_2C_HEXAMER/12_9A5_loading/16_1x_9A5_weakposres_1ns_repeats/rep1/npt_1x_9A5_weakposres_1ns_rep1.log	7dcb884a316657b577b44fcfe0a3be7707f8f7e95026e518aca50d6b91744259	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	input_provenance	underlying_xtc_tpr_gro_log_sha256_unique	MDAnalysis Universe(topology, pbc_cluster_center.xtc); explicit u.trajectory[-1]; u.atoms.write(PDB)
source_script	HRV_A89_2C_HEXAMER/scripts/65_analyze_1x_9A5_weakposres_repeats.py	9858a69129e9ce28f28b62034c98f453c542b0b8d33bcea2d5a73254679aa3f5	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	input_provenance	underlying_xtc_tpr_gro_log_sha256_unique	MDAnalysis Universe(topology, pbc_cluster_center.xtc); explicit u.trajectory[-1]; u.atoms.write(PDB)
cluster_center_xtc	HRV_A89_2C_HEXAMER/12_9A5_loading/16_1x_9A5_weakposres_1ns_repeats/rep2/npt_1x_9A5_weakposres_1ns_rep2_pbc_cluster_center.xtc	135a54200fd34f8b3f0a199435ac70b37668810cdaaea0085450ea547359700c	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	input_provenance	underlying_xtc_tpr_gro_log_sha256_unique	MDAnalysis Universe(topology, pbc_cluster_center.xtc); explicit u.trajectory[-1]; u.atoms.write(PDB)
raw_xtc	HRV_A89_2C_HEXAMER/12_9A5_loading/16_1x_9A5_weakposres_1ns_repeats/rep2/npt_1x_9A5_weakposres_1ns_rep2.xtc	fd50652078e174550a744a123d06c948e37ced8bad49623347006c8e9ccc932f	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	input_provenance	underlying_xtc_tpr_gro_log_sha256_unique	MDAnalysis Universe(topology, pbc_cluster_center.xtc); explicit u.trajectory[-1]; u.atoms.write(PDB)
tpr	HRV_A89_2C_HEXAMER/12_9A5_loading/16_1x_9A5_weakposres_1ns_repeats/rep2/npt_1x_9A5_weakposres_1ns_rep2.tpr	8b7279524300a0fa4dc13eef7f30925409b38d6aea80c23f08df10f9ccc6d7b6	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	input_provenance	underlying_xtc_tpr_gro_log_sha256_unique	MDAnalysis Universe(topology, pbc_cluster_center.xtc); explicit u.trajectory[-1]; u.atoms.write(PDB)
gro	HRV_A89_2C_HEXAMER/12_9A5_loading/16_1x_9A5_weakposres_1ns_repeats/rep2/npt_1x_9A5_weakposres_1ns_rep2.gro	c4f8ccd85d1b5b4f7043f49087d6a124bd9dbc570751ea60c814b1a244bf58fd	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	input_provenance	underlying_xtc_tpr_gro_log_sha256_unique	MDAnalysis Universe(topology, pbc_cluster_center.xtc); explicit u.trajectory[-1]; u.atoms.write(PDB)
log	HRV_A89_2C_HEXAMER/12_9A5_loading/16_1x_9A5_weakposres_1ns_repeats/rep2/npt_1x_9A5_weakposres_1ns_rep2.log	33c99504eb572e14628211b422c25768755e74c9511c4a3cf941f7c600797284	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	input_provenance	underlying_xtc_tpr_gro_log_sha256_unique	MDAnalysis Universe(topology, pbc_cluster_center.xtc); explicit u.trajectory[-1]; u.atoms.write(PDB)
source_script	HRV_A89_2C_HEXAMER/scripts/65_analyze_1x_9A5_weakposres_repeats.py	9858a69129e9ce28f28b62034c98f453c542b0b8d33bcea2d5a73254679aa3f5	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	input_provenance	underlying_xtc_tpr_gro_log_sha256_unique	MDAnalysis Universe(topology, pbc_cluster_center.xtc); explicit u.trajectory[-1]; u.atoms.write(PDB)
cluster_center_xtc	HRV_A89_2C_HEXAMER/12_9A5_loading/16_1x_9A5_weakposres_1ns_repeats/rep3/npt_1x_9A5_weakposres_1ns_rep3_pbc_cluster_center.xtc	12170704f44f7df14dcb3233f454632790e8f2cfa477aceeb9b48e6bc0c67667	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	input_provenance	underlying_xtc_tpr_gro_log_sha256_unique	MDAnalysis Universe(topology, pbc_cluster_center.xtc); explicit u.trajectory[-1]; u.atoms.write(PDB)
raw_xtc	HRV_A89_2C_HEXAMER/12_9A5_loading/16_1x_9A5_weakposres_1ns_repeats/rep3/npt_1x_9A5_weakposres_1ns_rep3.xtc	b97c64e5f3659a9082bb4c5127a98b9875252e59d5f3ace45bf20fe400cc25ed	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	input_provenance	underlying_xtc_tpr_gro_log_sha256_unique	MDAnalysis Universe(topology, pbc_cluster_center.xtc); explicit u.trajectory[-1]; u.atoms.write(PDB)
tpr	HRV_A89_2C_HEXAMER/12_9A5_loading/16_1x_9A5_weakposres_1ns_repeats/rep3/npt_1x_9A5_weakposres_1ns_rep3.tpr	783c853e0929396fabde5161041b3d1d9791a4b2be6f2785fc3561325138b3d3	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	input_provenance	underlying_xtc_tpr_gro_log_sha256_unique	MDAnalysis Universe(topology, pbc_cluster_center.xtc); explicit u.trajectory[-1]; u.atoms.write(PDB)
gro	HRV_A89_2C_HEXAMER/12_9A5_loading/16_1x_9A5_weakposres_1ns_repeats/rep3/npt_1x_9A5_weakposres_1ns_rep3.gro	c55beb0a9ec423d20842b31f57b66178b01a147aedf3ad9ea95870760a354c9a	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	input_provenance	underlying_xtc_tpr_gro_log_sha256_unique	MDAnalysis Universe(topology, pbc_cluster_center.xtc); explicit u.trajectory[-1]; u.atoms.write(PDB)
log	HRV_A89_2C_HEXAMER/12_9A5_loading/16_1x_9A5_weakposres_1ns_repeats/rep3/npt_1x_9A5_weakposres_1ns_rep3.log	43cd3dcf198cc59c4f7165d2ec90346bc343cd078660f4603990010061ccd289	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	input_provenance	underlying_xtc_tpr_gro_log_sha256_unique	MDAnalysis Universe(topology, pbc_cluster_center.xtc); explicit u.trajectory[-1]; u.atoms.write(PDB)
source_script	HRV_A89_2C_HEXAMER/scripts/65_analyze_1x_9A5_weakposres_repeats.py	9858a69129e9ce28f28b62034c98f453c542b0b8d33bcea2d5a73254679aa3f5	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	input_provenance	underlying_xtc_tpr_gro_log_sha256_unique	MDAnalysis Universe(topology, pbc_cluster_center.xtc); explicit u.trajectory[-1]; u.atoms.write(PDB)
