source_repository	source_commit	absolute_path	relative_path	filename	sha256	structure_class	2c_state	2c_residue_range	n_2c_chains	antibody_present	antibody_type	VH_chain	VL_chain	refinement_state	registry_status	usable_for_primary_analysis	reason	task011a_qc_status	replacement_or_qc_note	chain_residue_summary	n_2c_like_chains	atom_count	vh_chain_guess	vl_chain_guess	finite_coordinates
BioPpao/HRV-A89-2C-small-tag-and-insertion-site-prioritization	ffa847557a4bce2461c87e1869f9a45abf05ed4b	/public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/results/open_structure_007/tier1_shallow/A89_2C_203_204_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	results/open_structure_007/tier1_shallow/A89_2C_203_204_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	A89_2C_203_204_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	0779902d88e6459a01e9126707883ce7a996c1fe6a8864e2c8c7e9fce1a42120	tagged_monomer	full_length_tagged_monomer	A:1-326(326)	1	no	none			ColabFold_unrelaxed	TAGGED_MODEL	yes	selected_for_task011_primary_or_context_analysis	carried_forward							
BioPpao/HRV-A89-2C-small-tag-and-insertion-site-prioritization	ffa847557a4bce2461c87e1869f9a45abf05ed4b	/public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/results/open_structure_007/tier1_shallow/A89_2C_224_225_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	results/open_structure_007/tier1_shallow/A89_2C_224_225_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	A89_2C_224_225_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	732ba24d808f420503df22ad919745d0c6d8568a2f4bf91a13c47ee871f9f68d	tagged_monomer	full_length_tagged_monomer	A:1-330(330)	1	no	none			ColabFold_unrelaxed	TAGGED_MODEL	yes	selected_for_task011_primary_or_context_analysis	carried_forward							
BioPpao/HRV-A89-2C-small-tag-and-insertion-site-prioritization	ffa847557a4bce2461c87e1869f9a45abf05ed4b	/public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/results/open_structure_007/tier1_shallow/A89_2C_224_225_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	results/open_structure_007/tier1_shallow/A89_2C_224_225_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	A89_2C_224_225_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	9b9505b4d78d05d66b533ca21bf0c16fcf56b5fbcc1373db4c7ec99e14691cc2	tagged_monomer	full_length_tagged_monomer	A:1-329(329)	1	no	none			ColabFold_unrelaxed	TAGGED_MODEL	yes	selected_for_task011_primary_or_context_analysis	carried_forward							
BioPpao/HRV-A89-2C-small-tag-and-insertion-site-prioritization	ffa847557a4bce2461c87e1869f9a45abf05ed4b	/public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/results/open_structure_007/tier1_shallow/A89_2C_248_249_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	results/open_structure_007/tier1_shallow/A89_2C_248_249_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	A89_2C_248_249_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	c9aedd61dd46b3ae99f9027cf7011fae82dec33f3f83da6b1f2a9f470deb8610	tagged_monomer	full_length_tagged_monomer	A:1-330(330)	1	no	none			ColabFold_unrelaxed	TAGGED_MODEL	yes	selected_for_task011_primary_or_context_analysis	carried_forward							
BioPpao/HRV-A89-2C-small-tag-and-insertion-site-prioritization	ffa847557a4bce2461c87e1869f9a45abf05ed4b	/public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/results/open_structure_007/tier1_shallow/A89_2C_248_249_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	results/open_structure_007/tier1_shallow/A89_2C_248_249_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	A89_2C_248_249_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	8bf0a4380789ace1cbdca62c6f82a26366e6f6807ee82b6106c513c1b9932d0a	tagged_monomer	full_length_tagged_monomer	A:1-329(329)	1	no	none			ColabFold_unrelaxed	TAGGED_MODEL	yes	selected_for_task011_primary_or_context_analysis	carried_forward							
BioPpao/HRV-A89-2C-small-tag-and-insertion-site-prioritization	ffa847557a4bce2461c87e1869f9a45abf05ed4b	/public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/results/open_structure_007/tier1_shallow/A89_2C_256_257_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	results/open_structure_007/tier1_shallow/A89_2C_256_257_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	A89_2C_256_257_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	2087e5987934d99e5b401824582288d13a8be24aee3418147a40c852ecbf3126	tagged_monomer	full_length_tagged_monomer	A:1-329(329)	1	no	none			ColabFold_unrelaxed	TAGGED_MODEL	yes	selected_for_task011_primary_or_context_analysis	carried_forward							
BioPpao/HRV-A89-2C-small-tag-and-insertion-site-prioritization	ffa847557a4bce2461c87e1869f9a45abf05ed4b	/public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/results/open_structure_007/tier1_shallow/A89_2C_288_289_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	results/open_structure_007/tier1_shallow/A89_2C_288_289_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	A89_2C_288_289_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	1eb3c85d3249da8c4d08de54b0d2b841f7a424937a096ff94d26e57e6bae15bf	tagged_monomer	full_length_tagged_monomer	A:1-330(330)	1	no	none			ColabFold_unrelaxed	TAGGED_MODEL	yes	selected_for_task011_primary_or_context_analysis	carried_forward							
BioPpao/HRV-A89-2C-small-tag-and-insertion-site-prioritization	ffa847557a4bce2461c87e1869f9a45abf05ed4b	/public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/results/open_structure_007/tier1_shallow/A89_2C_288_289_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	results/open_structure_007/tier1_shallow/A89_2C_288_289_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	A89_2C_288_289_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	ec79fa8644377f0ce2e83c2103eaa3139df8c4b0b9aa4196a82f3d261489ba1d	tagged_monomer	full_length_tagged_monomer	A:1-329(329)	1	no	none			ColabFold_unrelaxed	TAGGED_MODEL	yes	selected_for_task011_primary_or_context_analysis	carried_forward							
BioPpao/HRV-A89-2C-small-tag-and-insertion-site-prioritization	ffa847557a4bce2461c87e1869f9a45abf05ed4b	/public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/results/open_structure_007/tier1_shallow/A89_2C_289_290_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	results/open_structure_007/tier1_shallow/A89_2C_289_290_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	A89_2C_289_290_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	8dc128a6e8128afa10831bc8b23456ef733d105c2da35edfc72ff942bc6a28d7	tagged_monomer	full_length_tagged_monomer	A:1-326(326)	1	no	none			ColabFold_unrelaxed	TAGGED_MODEL	yes	selected_for_task011_primary_or_context_analysis	carried_forward							
BioPpao/HRV-A89-2C-small-tag-and-insertion-site-prioritization	ffa847557a4bce2461c87e1869f9a45abf05ed4b	/public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/results/open_structure_007/tier1_shallow/A89_2C_289_290_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	results/open_structure_007/tier1_shallow/A89_2C_289_290_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	A89_2C_289_290_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	fa876ff64cf1bb526057f35cca4c78665cbf2d8ff56cf868dfda2bc023fee495	tagged_monomer	full_length_tagged_monomer	A:1-329(329)	1	no	none			ColabFold_unrelaxed	TAGGED_MODEL	yes	selected_for_task011_primary_or_context_analysis	carried_forward							
BioPpao/HRV-A89-2C-small-tag-and-insertion-site-prioritization	ffa847557a4bce2461c87e1869f9a45abf05ed4b	/public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/results/open_structure_007/tier1_shallow/A89_2C_290_291_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	results/open_structure_007/tier1_shallow/A89_2C_290_291_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	A89_2C_290_291_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	12d010de29c2b2fa308d3b3e07756cd3700d4815b314e8e21da5bd68fe3d552c	tagged_monomer	full_length_tagged_monomer	A:1-329(329)	1	no	none			ColabFold_unrelaxed	TAGGED_MODEL	yes	selected_for_task011_primary_or_context_analysis	carried_forward							
			results/9a5_context_011a_qc/reexported_1x9A5_endpoints/rep1_endpoint_last_frame_reexported.pdb	rep1_endpoint_last_frame_reexported.pdb	d0478a7a51689bb667669872868335018b6685e1e7218a351f1d7dc791f46d26	1x9A5_hexamer_complex_reexported_endpoint	full_length_hexamer			yes	9A5_Fv			reexported_from_existing_1ns_weakposres_pbc_cluster_center_xtc	CURRENT_QC_REPLACEMENT	yes	rep1 explicit final frame re-export; old endpoint PDB duplicate excluded	corrected_endpoint_primary_analysis	generated_by_scripts/9a5_context_qc_011a.py_from_existing_XTC	A:1-321(321);B:1-321(321);C:1-321(321);D:1-321(321);E:1-321(321);F:1-321(321);H:1-118(118);L:1-112(112)	6.0	34341.0	H	L	True
			results/9a5_context_011a_qc/reexported_1x9A5_endpoints/rep2_endpoint_last_frame_reexported.pdb	rep2_endpoint_last_frame_reexported.pdb	935684cc8c8088161467a728447c8fc821cd0c99d5175f2dc0ddfefc129df8c5	1x9A5_hexamer_complex_reexported_endpoint	full_length_hexamer			yes	9A5_Fv			reexported_from_existing_1ns_weakposres_pbc_cluster_center_xtc	CURRENT_QC_REPLACEMENT	yes	rep2 explicit final frame re-export; old endpoint PDB duplicate excluded	corrected_endpoint_primary_analysis	generated_by_scripts/9a5_context_qc_011a.py_from_existing_XTC	A:1-321(321);B:1-321(321);C:1-321(321);D:1-321(321);E:1-321(321);F:1-321(321);H:1-118(118);L:1-112(112)	6.0	34341.0	H	L	True
