path	file_name	suffix	size_bytes	sha256	git_status_at_start	task009_provenance_role	task010_handling_strategy
results/broad_dynamics_009/local_multimer/output/A89_2C_248_249_MAP8_trimer_tagged_WT_WT_plddt.png	A89_2C_248_249_MAP8_trimer_tagged_WT_WT_plddt.png	png	40953	22f573b3c272da229b791ccaad393de7c3df2f679f0428a7bb02ac147556c21e	untracked	local_multimer_raw_output_or_metadata	preserve_server_side_not_git_added_bulk_or_nonfinite_raw_model_output
results/broad_dynamics_009/local_multimer/output/A89_2C_248_249_MAP8_trimer_tagged_WT_WT_predicted_aligned_error_v1.json	A89_2C_248_249_MAP8_trimer_tagged_WT_WT_predicted_aligned_error_v1.json	json	4716212	921bbc05c640845ff839c96b7e6b05fd29b51b8bf3b6b4e01d7aa7c1b5c6b5a6	untracked	local_multimer_raw_output_or_metadata	preserve_server_side_not_git_added_bulk_or_nonfinite_raw_model_output
results/broad_dynamics_009/local_multimer/output/A89_2C_248_249_MAP8_trimer_tagged_WT_WT_scores_rank_001_alphafold2_multimer_v3_model_1_seed_052.json	A89_2C_248_249_MAP8_trimer_tagged_WT_WT_scores_rank_001_alphafold2_multimer_v3_model_1_seed_052.json	json	4721063	36a840ad9559d4197ad44e89ad68a23e920f43985ab443397f1d967358b300b9	untracked	local_multimer_raw_output_or_metadata	preserve_server_side_not_git_added_bulk_or_nonfinite_raw_model_output
results/broad_dynamics_009/local_multimer/output/A89_2C_248_249_MAP8_trimer_tagged_WT_WT_scores_rank_002_alphafold2_multimer_v3_model_1_seed_051.json	A89_2C_248_249_MAP8_trimer_tagged_WT_WT_scores_rank_002_alphafold2_multimer_v3_model_1_seed_051.json	json	4721063	36a840ad9559d4197ad44e89ad68a23e920f43985ab443397f1d967358b300b9	untracked	local_multimer_raw_output_or_metadata	preserve_server_side_not_git_added_bulk_or_nonfinite_raw_model_output
results/broad_dynamics_009/local_multimer/output/A89_2C_248_249_MAP8_trimer_tagged_WT_WT_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_052.pdb	A89_2C_248_249_MAP8_trimer_tagged_WT_WT_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_052.pdb	pdb	620217	eb94f33e8cc9789c81c60f08e4ba0715191656987f343a3a114923e4f9040659	untracked	local_multimer_raw_output_or_metadata	preserve_server_side_not_git_added_bulk_or_nonfinite_raw_model_output
results/broad_dynamics_009/local_multimer/output/A89_2C_248_249_MAP8_trimer_tagged_WT_WT_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_051.pdb	A89_2C_248_249_MAP8_trimer_tagged_WT_WT_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_051.pdb	pdb	620217	eb94f33e8cc9789c81c60f08e4ba0715191656987f343a3a114923e4f9040659	untracked	local_multimer_raw_output_or_metadata	preserve_server_side_not_git_added_bulk_or_nonfinite_raw_model_output
results/broad_dynamics_009/local_multimer/output/A89_2C_256_257_MAP8_trimer_tagged_WT_WT.a3m	A89_2C_256_257_MAP8_trimer_tagged_WT_WT.a3m	a3m	1324	cc1d140353e46ccbf5206740f88285f08027a73ff736658fffddeb6068dd031a	untracked	local_multimer_raw_output_or_metadata	preserve_server_side_not_git_added_bulk_or_nonfinite_raw_model_output
results/broad_dynamics_009/local_multimer/output/A89_2C_256_257_MAP8_trimer_tagged_WT_WT.done.txt	A89_2C_256_257_MAP8_trimer_tagged_WT_WT.done.txt	txt	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	untracked	local_multimer_raw_output_or_metadata	preserve_server_side;metadata_captured_by_task010_inventory
results/broad_dynamics_009/local_multimer/output/A89_2C_256_257_MAP8_trimer_tagged_WT_WT_coverage.png	A89_2C_256_257_MAP8_trimer_tagged_WT_WT_coverage.png	png	53298	c260c2996563299c738758dd402995816581f113bbe6120c620e52dbea835829	untracked	local_multimer_raw_output_or_metadata	preserve_server_side_not_git_added_bulk_or_nonfinite_raw_model_output
results/broad_dynamics_009/local_multimer/output/A89_2C_256_257_MAP8_trimer_tagged_WT_WT_pae.png	A89_2C_256_257_MAP8_trimer_tagged_WT_WT_pae.png	png	17232	4d0c304095a05d6604fdda85e13bd281f529b96149d158f88a740b7f9c4031ac	untracked	local_multimer_raw_output_or_metadata	preserve_server_side_not_git_added_bulk_or_nonfinite_raw_model_output
results/broad_dynamics_009/local_multimer/output/A89_2C_256_257_MAP8_trimer_tagged_WT_WT_plddt.png	A89_2C_256_257_MAP8_trimer_tagged_WT_WT_plddt.png	png	40953	22f573b3c272da229b791ccaad393de7c3df2f679f0428a7bb02ac147556c21e	untracked	local_multimer_raw_output_or_metadata	preserve_server_side_not_git_added_bulk_or_nonfinite_raw_model_output
results/broad_dynamics_009/local_multimer/output/A89_2C_256_257_MAP8_trimer_tagged_WT_WT_predicted_aligned_error_v1.json	A89_2C_256_257_MAP8_trimer_tagged_WT_WT_predicted_aligned_error_v1.json	json	4716212	921bbc05c640845ff839c96b7e6b05fd29b51b8bf3b6b4e01d7aa7c1b5c6b5a6	untracked	local_multimer_raw_output_or_metadata	preserve_server_side_not_git_added_bulk_or_nonfinite_raw_model_output
results/broad_dynamics_009/local_multimer/output/A89_2C_256_257_MAP8_trimer_tagged_WT_WT_scores_rank_001_alphafold2_multimer_v3_model_1_seed_052.json	A89_2C_256_257_MAP8_trimer_tagged_WT_WT_scores_rank_001_alphafold2_multimer_v3_model_1_seed_052.json	json	4721063	36a840ad9559d4197ad44e89ad68a23e920f43985ab443397f1d967358b300b9	untracked	local_multimer_raw_output_or_metadata	preserve_server_side_not_git_added_bulk_or_nonfinite_raw_model_output
results/broad_dynamics_009/local_multimer/output/A89_2C_256_257_MAP8_trimer_tagged_WT_WT_scores_rank_002_alphafold2_multimer_v3_model_1_seed_051.json	A89_2C_256_257_MAP8_trimer_tagged_WT_WT_scores_rank_002_alphafold2_multimer_v3_model_1_seed_051.json	json	4721063	36a840ad9559d4197ad44e89ad68a23e920f43985ab443397f1d967358b300b9	untracked	local_multimer_raw_output_or_metadata	preserve_server_side_not_git_added_bulk_or_nonfinite_raw_model_output
