system_id	construct_id	junction	tag_form	replica	target_ns	fallback_minimum_ns	job_id	status	trajectory_path	checkpoint_path	energy_path	achieved_ns	slurm_array_index
A89_2C_248_249_MAP8_112_321	A89_2C_248_249_MAP8	248|249	MAP8	1	50	20	164359_24	queued_any_allowed_gpu_164359				0	24
A89_2C_248_249_MAP8_112_321	A89_2C_248_249_MAP8	248|249	MAP8	2	50	20	164359_25	queued_any_allowed_gpu_164359				0	25
A89_2C_248_249_MAP8_112_321	A89_2C_248_249_MAP8	248|249	MAP8	3	50	20	164359_26	queued_any_allowed_gpu_164359				0	26
A89_2C_248_249_HA_112_321	A89_2C_248_249_HA	248|249	HA	1	50	20	164359_27	queued_any_allowed_gpu_164359				0	27
A89_2C_248_249_HA_112_321	A89_2C_248_249_HA	248|249	HA	2	50	20	164359_28	queued_any_allowed_gpu_164359				0	28
A89_2C_248_249_HA_112_321	A89_2C_248_249_HA	248|249	HA	3	50	20	164359_29	queued_any_allowed_gpu_164359				0	29
A89_2C_203_204_G196_minimal_112_321	A89_2C_203_204_G196_minimal	203|204	G196_minimal	1	50	20	164359_30	queued_any_allowed_gpu_164359				0	30
A89_2C_203_204_G196_minimal_112_321	A89_2C_203_204_G196_minimal	203|204	G196_minimal	2	50	20	164359_31	queued_any_allowed_gpu_164359				0	31
A89_2C_203_204_G196_minimal_112_321	A89_2C_203_204_G196_minimal	203|204	G196_minimal	3	50	20	164359_32	queued_any_allowed_gpu_164359				0	32
A89_2C_256_257_MAP8_112_321	A89_2C_256_257_MAP8	256|257	MAP8	1	50	20	164359_33	queued_any_allowed_gpu_164359				0	33
A89_2C_256_257_MAP8_112_321	A89_2C_256_257_MAP8	256|257	MAP8	2	50	20	164359_34	queued_any_allowed_gpu_164359				0	34
A89_2C_256_257_MAP8_112_321	A89_2C_256_257_MAP8	256|257	MAP8	3	50	20	164359_35	queued_any_allowed_gpu_164359				0	35
A89_2C_155_156_MAP8_112_321	A89_2C_155_156_MAP8	155|156	MAP8	1	50	20	164359_36	queued_any_allowed_gpu_164359				0	36
A89_2C_155_156_MAP8_112_321	A89_2C_155_156_MAP8	155|156	MAP8	2	50	20	164359_37	queued_any_allowed_gpu_164359				0	37
A89_2C_155_156_MAP8_112_321	A89_2C_155_156_MAP8	155|156	MAP8	3	50	20	164359_38	queued_any_allowed_gpu_164359				0	38
